OFFER_DATE,OFFER_WEEK,OFFER_MONTH,PRODUCT,PRICE,DISCOUNT,CUSTOMER_ID,GENDER,AGE,EARNING_K,CONVERT
8/17/2017,Thursday,August,HDMI Cable,30,50,81-644-4341,Male,30 - 40,60 - 100,0
3/23/2017,Thursday,March,USB Hub,50,30,65-868-0778,Male,40 - 50,100 - 150,1
12/27/2017,Wednesday,December,USB Drive,40,40,29-377-7455,Male,20 - 30,LESS THAN 30,0
8/22/2017,Tuesday,August,USB Drive,30,60,12-154-3383,Female,50 - 60,60 - 100,0
6/28/2017,Wednesday,June,Keyboard,40,20,66-133-2348,Male,60 and above,60 - 100,0
3/20/2017,Monday,March,USB Drive,30,60,79-694-9906,Male,20 - 30,150 ABOVE,0
4/18/2017,Tuesday,April,Headset,30,40,34-885-9160,Female,40 - 50,60 - 100,1
6/16/2017,Friday,June,USB Drive,50,20,44-256-1026,Female,30 - 40,30 - 60,1
3/2/2017,Thursday,March,Lightning Cable,40,20,75-291-2571,Female,60 and above,150 ABOVE,0
7/29/2017,Saturday,July,Lightning Cable,30,20,25-570-3275,Male,30 - 40,150 ABOVE,0
4/5/2017,Wednesday,April,Mouse,30,60,50-228-8951,Male,60 and above,LESS THAN 30,0
7/4/2017,Tuesday,July,USB Hub,50,60,64-294-0678,Male,60 and above,100 - 150,0
11/2/2017,Thursday,November,Keyboard,30,30,91-197-3670,Male,50 - 60,60 - 100,0
9/4/2017,Monday,September,USB Hub,40,40,56-333-3275,Male,30 - 40,150 ABOVE,0
2/8/2017,Wednesday,February,Headset,50,20,24-858-8262,Male,30 - 40,LESS THAN 30,0
12/17/2017,Sunday,December,Keyboard,30,20,67-528-4669,Female,50 - 60,100 - 150,0
1/24/2017,Tuesday,January,USB Drive,40,20,39-378-1560,Female,50 - 60,30 - 60,0
5/13/2017,Saturday,May,Headset,50,50,70-607-2858,Male,30 - 40,150 ABOVE,1
10/11/2017,Wednesday,October,HDMI Cable,40,20,92-191-4314,Male,50 - 60,LESS THAN 30,0
1/29/2017,Sunday,January,HDMI Cable,40,60,82-378-9465,Male,50 - 60,LESS THAN 30,0
12/14/2017,Thursday,December,Lightning Cable,30,50,42-815-0859,Female,20 - 30,100 - 150,0
9/3/2017,Sunday,September,Headset,30,50,29-595-5923,Female,50 - 60,30 - 60,0
11/8/2017,Wednesday,November,HDMI Cable,50,20,64-529-8608,Female,20 - 30,LESS THAN 30,1
4/26/2017,Wednesday,April,Keyboard,40,30,28-552-3108,Female,50 - 60,30 - 60,0
5/17/2017,Wednesday,May,Headset,30,50,62-776-2262,Male,30 - 40,150 ABOVE,0
8/29/2017,Tuesday,August,Mouse,50,20,51-125-4258,Male,40 - 50,LESS THAN 30,0
12/13/2017,Wednesday,December,Lightning Cable,50,60,13-987-2067,Female,40 - 50,150 ABOVE,0
1/6/2017,Friday,January,USB Drive,40,30,77-736-7529,Female,20 - 30,60 - 100,1
6/12/2017,Monday,June,USB Hub,30,60,13-338-3985,Male,60 and above,30 - 60,0
12/7/2017,Thursday,December,Headset,30,40,44-707-7953,Male,50 - 60,30 - 60,0
7/11/2017,Tuesday,July,Lightning Cable,30,20,77-831-6215,Female,60 and above,150 ABOVE,0
6/14/2017,Wednesday,June,Headset,30,20,21-843-9220,Male,60 and above,100 - 150,0
8/26/2017,Saturday,August,Keyboard,40,40,74-116-3886,Male,40 - 50,150 ABOVE,0
12/20/2017,Wednesday,December,HDMI Cable,40,60,88-624-2542,Male,30 - 40,150 ABOVE,0
3/23/2017,Thursday,March,USB Drive,40,40,74-477-2049,Male,20 - 30,LESS THAN 30,0
1/3/2017,Tuesday,January,Mouse,30,50,58-520-6050,Female,20 - 30,60 - 100,1
3/25/2017,Saturday,March,HDMI Cable,50,50,46-145-1743,Male,40 - 50,30 - 60,0
10/6/2017,Friday,October,Headset,50,30,26-863-8440,Female,50 - 60,LESS THAN 30,0
8/26/2017,Saturday,August,Keyboard,50,20,91-281-6615,Female,20 - 30,LESS THAN 30,1
6/13/2017,Tuesday,June,Headset,50,40,08-077-7897,Female,20 - 30,100 - 150,1
5/16/2017,Tuesday,May,HDMI Cable,50,20,38-675-9549,Male,20 - 30,30 - 60,0
4/25/2017,Tuesday,April,Headset,30,60,86-906-2372,Female,20 - 30,150 ABOVE,0
6/11/2017,Sunday,June,Mouse,50,20,95-473-3897,Male,60 and above,150 ABOVE,0
3/2/2017,Thursday,March,Mouse,40,30,92-581-4334,Male,30 - 40,LESS THAN 30,0
4/8/2017,Saturday,April,Keyboard,30,30,88-740-1247,Male,30 - 40,60 - 100,1
1/31/2017,Tuesday,January,USB Hub,30,60,40-735-1395,Male,60 and above,100 - 150,0
1/9/2017,Monday,January,HDMI Cable,40,30,73-359-2657,Male,20 - 30,60 - 100,0
1/3/2017,Tuesday,January,Keyboard,40,60,42-308-8118,Female,60 and above,30 - 60,0
6/6/2017,Tuesday,June,USB Drive,40,60,17-883-7665,Male,20 - 30,60 - 100,1
5/22/2017,Monday,May,HDMI Cable,30,20,78-242-6473,Female,50 - 60,150 ABOVE,0
12/1/2017,Friday,December,Mouse,50,40,37-338-8492,Female,20 - 30,60 - 100,0
5/20/2017,Saturday,May,Lightning Cable,30,60,23-096-0592,Male,50 - 60,100 - 150,1
3/23/2017,Thursday,March,Keyboard,40,60,58-225-5385,Male,30 - 40,60 - 100,1
7/16/2017,Sunday,July,Mouse,30,50,95-284-2603,Male,40 - 50,30 - 60,0
8/9/2017,Wednesday,August,HDMI Cable,40,60,60-026-2492,Male,30 - 40,30 - 60,0
11/10/2017,Friday,November,Mouse,40,50,04-801-2643,Female,50 - 60,LESS THAN 30,0
7/28/2017,Friday,July,USB Hub,50,20,42-697-0382,Male,40 - 50,100 - 150,0
3/6/2017,Monday,March,Headset,50,30,78-767-0535,Male,30 - 40,30 - 60,0
6/4/2017,Sunday,June,Keyboard,50,60,56-740-9549,Male,30 - 40,100 - 150,1
12/25/2017,Monday,December,Keyboard,50,20,95-424-9374,Female,40 - 50,LESS THAN 30,0
9/14/2017,Thursday,September,USB Hub,40,20,76-270-2798,Female,50 - 60,30 - 60,0
12/22/2017,Friday,December,Keyboard,50,50,99-085-6214,Female,40 - 50,100 - 150,0
6/29/2017,Thursday,June,USB Drive,50,40,06-481-5408,Female,30 - 40,LESS THAN 30,0
2/5/2017,Sunday,February,Headset,50,30,06-855-0199,Female,50 - 60,150 ABOVE,0
1/16/2017,Monday,January,HDMI Cable,40,40,15-180-3671,Male,20 - 30,LESS THAN 30,1
4/9/2017,Sunday,April,Keyboard,30,40,05-118-0293,Female,40 - 50,30 - 60,0
3/5/2017,Sunday,March,HDMI Cable,40,40,74-283-2262,Female,30 - 40,30 - 60,0
9/3/2017,Sunday,September,Lightning Cable,50,60,47-067-2734,Female,20 - 30,150 ABOVE,0
10/25/2017,Wednesday,October,Mouse,50,60,68-116-2081,Male,60 and above,60 - 100,0
12/1/2017,Friday,December,HDMI Cable,30,40,08-252-8591,Female,20 - 30,150 ABOVE,0
10/3/2017,Tuesday,October,Keyboard,40,20,27-757-2660,Female,60 and above,30 - 60,0
4/18/2017,Tuesday,April,USB Drive,40,40,96-982-7745,Female,20 - 30,100 - 150,1
5/23/2017,Tuesday,May,Mouse,50,30,25-064-6959,Female,50 - 60,LESS THAN 30,0
1/23/2017,Monday,January,HDMI Cable,50,30,53-027-6533,Female,60 and above,LESS THAN 30,0
9/18/2017,Monday,September,USB Drive,50,60,04-193-3950,Female,30 - 40,30 - 60,0
3/12/2017,Sunday,March,USB Hub,30,40,24-967-0270,Male,20 - 30,LESS THAN 30,0
6/11/2017,Sunday,June,Mouse,40,30,77-122-0835,Male,60 and above,30 - 60,0
9/14/2017,Thursday,September,Mouse,50,30,94-844-7195,Female,40 - 50,LESS THAN 30,0
10/1/2017,Sunday,October,Lightning Cable,40,60,35-886-8343,Female,20 - 30,100 - 150,1
9/3/2017,Sunday,September,HDMI Cable,30,60,48-840-4518,Male,30 - 40,100 - 150,0
5/10/2017,Wednesday,May,USB Drive,30,30,98-837-0255,Male,20 - 30,LESS THAN 30,1
2/22/2017,Wednesday,February,USB Drive,50,50,59-833-8652,Female,30 - 40,100 - 150,1
2/23/2017,Thursday,February,USB Drive,50,40,27-077-1144,Male,50 - 60,100 - 150,0
11/1/2017,Wednesday,November,Keyboard,30,40,78-473-7856,Female,30 - 40,100 - 150,1
3/5/2017,Sunday,March,HDMI Cable,30,60,73-846-1276,Male,50 - 60,LESS THAN 30,0
1/3/2017,Tuesday,January,USB Hub,40,20,89-879-8756,Male,20 - 30,LESS THAN 30,0
11/19/2017,Sunday,November,USB Hub,50,40,53-537-2380,Male,20 - 30,100 - 150,0
3/2/2017,Thursday,March,Mouse,40,60,47-115-9239,Male,30 - 40,60 - 100,1
2/7/2017,Tuesday,February,HDMI Cable,50,60,38-779-0784,Male,50 - 60,LESS THAN 30,0
2/14/2017,Tuesday,February,HDMI Cable,30,50,17-263-7926,Male,60 and above,LESS THAN 30,0
6/7/2017,Wednesday,June,HDMI Cable,50,60,41-410-3845,Female,30 - 40,100 - 150,1
9/1/2017,Friday,September,USB Drive,50,60,77-639-9801,Female,50 - 60,150 ABOVE,0
12/27/2017,Wednesday,December,USB Hub,30,50,41-882-0981,Female,50 - 60,100 - 150,1
5/1/2017,Monday,May,Keyboard,50,40,79-320-7384,Female,60 and above,150 ABOVE,0
5/9/2017,Tuesday,May,USB Hub,30,30,28-948-8358,Female,50 - 60,100 - 150,1
3/8/2017,Wednesday,March,Keyboard,30,40,54-439-6924,Male,30 - 40,LESS THAN 30,0
12/4/2017,Monday,December,Lightning Cable,40,20,09-140-2826,Male,40 - 50,150 ABOVE,0
3/16/2017,Thursday,March,Headset,50,40,37-332-6698,Male,50 - 60,150 ABOVE,0
11/22/2017,Wednesday,November,Keyboard,40,50,15-320-4324,Female,60 and above,100 - 150,0
9/24/2017,Sunday,September,USB Hub,40,30,53-688-7246,Female,20 - 30,30 - 60,0
2/22/2017,Wednesday,February,HDMI Cable,40,50,92-257-3231,Female,60 and above,100 - 150,1
5/7/2017,Sunday,May,Keyboard,50,40,75-190-7208,Female,50 - 60,150 ABOVE,0
2/16/2017,Thursday,February,Mouse,30,30,35-531-3235,Female,50 - 60,30 - 60,0
3/15/2017,Wednesday,March,Mouse,40,40,69-982-4774,Female,40 - 50,60 - 100,0
8/7/2017,Monday,August,Keyboard,40,30,60-285-8635,Male,20 - 30,150 ABOVE,0
5/23/2017,Tuesday,May,USB Drive,50,50,19-442-3643,Female,30 - 40,60 - 100,1
8/9/2017,Wednesday,August,Keyboard,50,50,12-600-4572,Female,20 - 30,LESS THAN 30,1
9/4/2017,Monday,September,USB Drive,50,50,56-430-9613,Male,50 - 60,LESS THAN 30,0
12/24/2017,Sunday,December,Headset,30,60,83-732-4123,Male,20 - 30,30 - 60,1
3/7/2017,Tuesday,March,Mouse,50,60,01-899-0932,Male,60 and above,LESS THAN 30,0
7/26/2017,Wednesday,July,Mouse,50,30,77-111-8516,Female,30 - 40,LESS THAN 30,1
3/19/2017,Sunday,March,HDMI Cable,30,60,55-189-4547,Male,60 and above,150 ABOVE,0
2/15/2017,Wednesday,February,USB Drive,30,40,28-168-1429,Male,60 and above,150 ABOVE,0
2/10/2017,Friday,February,HDMI Cable,30,40,38-316-2886,Male,20 - 30,LESS THAN 30,1
3/30/2017,Thursday,March,Keyboard,30,20,23-972-8736,Male,60 and above,30 - 60,0
2/27/2017,Monday,February,USB Hub,30,50,14-711-3094,Female,30 - 40,100 - 150,0
8/9/2017,Wednesday,August,Headset,50,30,64-902-7669,Female,20 - 30,150 ABOVE,1
7/12/2017,Wednesday,July,USB Drive,30,30,83-577-3940,Male,40 - 50,150 ABOVE,0
7/23/2017,Sunday,July,Headset,50,60,10-253-1111,Male,60 and above,150 ABOVE,0
11/22/2017,Wednesday,November,HDMI Cable,30,50,62-601-8577,Male,50 - 60,30 - 60,0
11/25/2017,Saturday,November,USB Hub,30,50,21-661-4986,Male,60 and above,30 - 60,0
6/10/2017,Saturday,June,Headset,30,60,82-731-2222,Female,20 - 30,150 ABOVE,0
4/9/2017,Sunday,April,Lightning Cable,40,40,93-284-8550,Female,40 - 50,60 - 100,0
5/27/2017,Saturday,May,HDMI Cable,30,50,44-637-6393,Female,20 - 30,LESS THAN 30,0
7/10/2017,Monday,July,USB Hub,40,30,11-864-3474,Female,40 - 50,150 ABOVE,0
11/9/2017,Thursday,November,USB Drive,30,30,38-875-9540,Female,30 - 40,30 - 60,1
3/14/2017,Tuesday,March,USB Drive,50,40,74-177-6448,Female,40 - 50,60 - 100,0
7/3/2017,Monday,July,USB Drive,30,50,17-072-4703,Female,50 - 60,60 - 100,0
12/23/2017,Saturday,December,Headset,50,60,51-788-2892,Female,60 and above,150 ABOVE,0
10/21/2017,Saturday,October,HDMI Cable,40,40,73-030-7740,Male,40 - 50,LESS THAN 30,0
6/27/2017,Tuesday,June,USB Hub,30,40,84-239-9344,Male,60 and above,60 - 100,0
6/17/2017,Saturday,June,Lightning Cable,30,50,66-587-7214,Male,40 - 50,LESS THAN 30,0
3/16/2017,Thursday,March,Headset,40,30,78-390-0346,Female,40 - 50,100 - 150,0
3/16/2017,Thursday,March,Headset,40,60,09-612-6681,Female,30 - 40,LESS THAN 30,0
7/9/2017,Sunday,July,USB Drive,50,50,92-727-3733,Female,60 and above,30 - 60,0
2/18/2017,Saturday,February,Keyboard,30,30,70-594-8737,Male,20 - 30,LESS THAN 30,0
1/26/2017,Thursday,January,Mouse,40,30,55-366-9410,Female,40 - 50,LESS THAN 30,0
1/8/2017,Sunday,January,USB Hub,50,40,95-278-6041,Female,40 - 50,LESS THAN 30,0
2/24/2017,Friday,February,Headset,30,20,87-767-1504,Female,30 - 40,100 - 150,0
4/25/2017,Tuesday,April,USB Drive,50,20,78-171-0018,Male,60 and above,60 - 100,0
5/26/2017,Friday,May,Lightning Cable,40,60,64-659-7011,Female,40 - 50,30 - 60,0
12/2/2017,Saturday,December,Keyboard,40,50,91-032-9753,Male,50 - 60,150 ABOVE,0
5/17/2017,Wednesday,May,HDMI Cable,30,40,45-200-3015,Female,40 - 50,150 ABOVE,0
12/8/2017,Friday,December,Headset,40,40,75-876-4236,Female,60 and above,LESS THAN 30,0
9/3/2017,Sunday,September,USB Drive,50,40,09-348-7546,Male,30 - 40,60 - 100,0
10/15/2017,Sunday,October,USB Drive,30,40,34-151-6948,Female,20 - 30,30 - 60,1
8/4/2017,Friday,August,Keyboard,40,30,62-676-7626,Male,40 - 50,60 - 100,0
3/31/2017,Friday,March,Mouse,30,50,77-100-4262,Female,60 and above,100 - 150,0
6/16/2017,Friday,June,USB Drive,50,40,78-306-2759,Male,20 - 30,100 - 150,0
5/22/2017,Monday,May,USB Hub,40,40,67-099-4564,Female,60 and above,LESS THAN 30,0
5/17/2017,Wednesday,May,Lightning Cable,30,20,67-851-3939,Female,30 - 40,LESS THAN 30,0
2/19/2017,Sunday,February,Mouse,50,40,50-859-1337,Female,30 - 40,100 - 150,0
1/25/2017,Wednesday,January,Keyboard,50,20,99-349-0139,Female,20 - 30,60 - 100,0
12/30/2017,Saturday,December,Headset,40,50,61-419-1956,Male,30 - 40,LESS THAN 30,1
11/1/2017,Wednesday,November,USB Hub,40,20,95-556-5034,Male,50 - 60,LESS THAN 30,0
2/11/2017,Saturday,February,Mouse,30,50,02-905-1083,Male,40 - 50,150 ABOVE,0
10/22/2017,Sunday,October,Lightning Cable,30,30,38-861-8173,Female,60 and above,LESS THAN 30,0
4/3/2017,Monday,April,Mouse,50,40,64-095-9846,Male,20 - 30,30 - 60,1
3/23/2017,Thursday,March,Keyboard,30,40,49-118-5604,Male,30 - 40,30 - 60,0
8/3/2017,Thursday,August,USB Hub,40,40,24-841-6228,Male,50 - 60,30 - 60,0
7/11/2017,Tuesday,July,USB Drive,30,20,30-398-5191,Female,50 - 60,150 ABOVE,0
10/17/2017,Tuesday,October,USB Hub,40,20,89-159-7418,Male,60 and above,LESS THAN 30,0
10/22/2017,Sunday,October,USB Drive,40,40,52-237-6743,Male,40 - 50,60 - 100,0
11/21/2017,Tuesday,November,Lightning Cable,50,50,62-155-6107,Female,60 and above,30 - 60,0
9/11/2017,Monday,September,Mouse,40,20,10-365-4899,Male,50 - 60,150 ABOVE,0
6/25/2017,Sunday,June,Headset,50,50,87-701-7224,Male,50 - 60,LESS THAN 30,0
7/30/2017,Sunday,July,USB Hub,50,50,53-790-9784,Female,20 - 30,30 - 60,0
9/3/2017,Sunday,September,Mouse,50,30,81-722-4865,Male,40 - 50,30 - 60,0
1/17/2017,Tuesday,January,Keyboard,30,30,14-847-3240,Female,20 - 30,30 - 60,0
9/10/2017,Sunday,September,HDMI Cable,40,30,50-488-8256,Male,60 and above,LESS THAN 30,0
7/15/2017,Saturday,July,Mouse,40,30,72-054-6148,Female,20 - 30,LESS THAN 30,1
6/4/2017,Sunday,June,HDMI Cable,40,30,37-637-0978,Male,40 - 50,30 - 60,0
7/28/2017,Friday,July,USB Hub,40,50,85-035-3717,Female,60 and above,LESS THAN 30,0
11/13/2017,Monday,November,USB Drive,30,50,23-098-2750,Female,20 - 30,LESS THAN 30,0
1/20/2017,Friday,January,USB Hub,30,30,72-285-4102,Male,40 - 50,LESS THAN 30,0
11/20/2017,Monday,November,USB Drive,30,20,07-329-0893,Female,20 - 30,100 - 150,0
8/28/2017,Monday,August,Lightning Cable,40,30,42-446-0721,Male,30 - 40,LESS THAN 30,0
2/18/2017,Saturday,February,HDMI Cable,50,40,59-378-3805,Male,30 - 40,LESS THAN 30,1
10/13/2017,Friday,October,USB Hub,40,30,90-086-7773,Female,30 - 40,60 - 100,1
10/18/2017,Wednesday,October,Mouse,50,60,97-544-8238,Male,50 - 60,LESS THAN 30,0
6/4/2017,Sunday,June,Keyboard,40,20,97-642-9527,Male,50 - 60,150 ABOVE,0
5/21/2017,Sunday,May,Mouse,30,60,72-753-8727,Male,50 - 60,60 - 100,0
7/10/2017,Monday,July,Keyboard,50,50,32-611-8213,Male,20 - 30,30 - 60,0
10/25/2017,Wednesday,October,USB Hub,30,60,23-620-1733,Female,30 - 40,100 - 150,0
1/15/2017,Sunday,January,Headset,50,20,17-793-9602,Female,50 - 60,30 - 60,0
10/14/2017,Saturday,October,Headset,50,40,07-383-4601,Female,30 - 40,30 - 60,1
9/20/2017,Wednesday,September,Headset,30,20,06-621-7455,Male,40 - 50,100 - 150,0
9/14/2017,Thursday,September,Lightning Cable,50,20,29-819-1826,Male,60 and above,30 - 60,0
9/29/2017,Friday,September,Lightning Cable,50,60,60-083-1127,Female,60 and above,100 - 150,0
2/20/2017,Monday,February,Headset,50,50,59-388-4081,Male,60 and above,150 ABOVE,0
6/4/2017,Sunday,June,USB Drive,40,50,93-883-3070,Male,30 - 40,LESS THAN 30,0
11/12/2017,Sunday,November,Headset,40,60,88-708-2446,Male,30 - 40,30 - 60,0
5/15/2017,Monday,May,USB Drive,50,50,25-194-5042,Female,60 and above,150 ABOVE,0
1/19/2017,Thursday,January,Headset,40,20,06-440-7324,Male,20 - 30,150 ABOVE,0
2/18/2017,Saturday,February,Lightning Cable,30,50,47-768-2422,Female,30 - 40,30 - 60,0
2/6/2017,Monday,February,USB Hub,50,50,36-624-0731,Female,60 and above,100 - 150,0
4/5/2017,Wednesday,April,USB Drive,50,20,40-712-2467,Male,30 - 40,60 - 100,0
1/30/2017,Monday,January,HDMI Cable,50,30,83-373-1067,Male,20 - 30,100 - 150,0
8/1/2017,Tuesday,August,Keyboard,30,60,39-653-8028,Male,50 - 60,60 - 100,0
10/29/2017,Sunday,October,Keyboard,50,50,62-479-2745,Male,40 - 50,150 ABOVE,0
5/25/2017,Thursday,May,Headset,40,60,56-026-7804,Male,60 and above,30 - 60,0
11/17/2017,Friday,November,Headset,30,50,34-882-6976,Male,40 - 50,100 - 150,0
10/16/2017,Monday,October,Mouse,30,40,14-696-0724,Male,30 - 40,100 - 150,0
3/14/2017,Tuesday,March,Mouse,30,30,14-534-4580,Male,60 and above,150 ABOVE,0
3/18/2017,Saturday,March,Lightning Cable,40,60,70-866-3859,Male,20 - 30,LESS THAN 30,1
7/2/2017,Sunday,July,Lightning Cable,50,50,46-777-6313,Female,60 and above,30 - 60,0
10/12/2017,Thursday,October,Lightning Cable,30,30,52-460-0274,Female,40 - 50,LESS THAN 30,0
12/12/2017,Tuesday,December,USB Hub,30,20,22-067-9961,Male,50 - 60,100 - 150,0
10/19/2017,Thursday,October,Lightning Cable,40,20,42-864-0432,Female,20 - 30,100 - 150,0
4/18/2017,Tuesday,April,HDMI Cable,30,30,20-159-2013,Female,50 - 60,30 - 60,0
4/16/2017,Sunday,April,USB Hub,30,30,90-071-9343,Male,20 - 30,60 - 100,1
7/23/2017,Sunday,July,Mouse,50,30,51-745-1999,Female,60 and above,150 ABOVE,0
8/20/2017,Sunday,August,HDMI Cable,50,60,42-327-9451,Female,50 - 60,100 - 150,1
8/3/2017,Thursday,August,Headset,50,30,80-617-3772,Female,20 - 30,150 ABOVE,1
9/27/2017,Wednesday,September,Lightning Cable,30,60,36-974-2316,Male,40 - 50,100 - 150,0
6/24/2017,Saturday,June,Mouse,40,60,88-522-0620,Female,30 - 40,30 - 60,0
9/10/2017,Sunday,September,USB Drive,50,40,88-951-9029,Female,60 and above,LESS THAN 30,0
12/10/2017,Sunday,December,Lightning Cable,50,50,36-915-5124,Female,50 - 60,LESS THAN 30,0
9/10/2017,Sunday,September,HDMI Cable,40,50,11-771-6601,Female,50 - 60,150 ABOVE,0
7/16/2017,Sunday,July,Mouse,30,30,57-186-0080,Female,20 - 30,60 - 100,0
11/12/2017,Sunday,November,USB Drive,30,20,37-302-9550,Male,20 - 30,30 - 60,1
7/23/2017,Sunday,July,Headset,40,40,85-977-1052,Male,40 - 50,150 ABOVE,0
8/23/2017,Wednesday,August,Mouse,30,50,35-880-3324,Female,40 - 50,60 - 100,0
11/28/2017,Tuesday,November,USB Hub,30,30,11-486-6623,Male,20 - 30,60 - 100,1
11/4/2017,Saturday,November,HDMI Cable,30,40,57-889-9465,Female,50 - 60,60 - 100,1
10/23/2017,Monday,October,USB Drive,40,40,30-999-6629,Female,50 - 60,30 - 60,0
5/2/2017,Tuesday,May,Keyboard,30,40,98-233-5608,Male,60 and above,150 ABOVE,0
12/4/2017,Monday,December,USB Drive,30,50,04-550-0222,Female,30 - 40,LESS THAN 30,0
1/23/2017,Monday,January,Mouse,30,50,10-314-5061,Male,30 - 40,60 - 100,1
7/13/2017,Thursday,July,Lightning Cable,30,30,65-204-5717,Female,20 - 30,LESS THAN 30,0
4/4/2017,Tuesday,April,Headset,40,20,35-324-0482,Male,50 - 60,30 - 60,0
5/30/2017,Tuesday,May,Mouse,50,20,72-817-1744,Female,20 - 30,150 ABOVE,0
9/14/2017,Thursday,September,Keyboard,30,30,56-733-4443,Male,50 - 60,150 ABOVE,0
5/4/2017,Thursday,May,USB Hub,30,50,66-730-9222,Female,60 and above,30 - 60,0
9/1/2017,Friday,September,USB Drive,40,20,54-428-5162,Female,60 and above,150 ABOVE,0
8/1/2017,Tuesday,August,Headset,40,50,51-090-5156,Male,40 - 50,100 - 150,0
8/9/2017,Wednesday,August,Keyboard,40,20,90-377-1553,Male,20 - 30,100 - 150,0
11/29/2017,Wednesday,November,USB Drive,30,60,44-878-0238,Male,60 and above,30 - 60,0
